Features,Genre,Score,Popularity
Speechiness,Movie,0.067006897,Popular
Speechiness,Opera,0.04505,Popular
Speechiness,Pop,0.109042133,Popular
Speechiness,R&B,0.118021706,Popular
Speechiness,Rap,0.179192678,Popular
Speechiness,Reggae,0.09145,Popular
Speechiness,Reggaeton,0.121289941,Popular
Speechiness,Rock,0.054222222,Popular
Speechiness,Ska,0.062077647,Popular
Speechiness,Soul,0.083571019,Popular
Speechiness,Soundtrack,0.042845455,Popular
Speechiness,World,0.038429801,Popular
Valence,Alternative,0.489583485,Popular
Valence,Anime,0.57775,Popular
Valence,Blues,0.604005128,Popular
Valence,Children’s Music,0.475949733,Popular
Valence,Classical,0.182798413,Popular
Valence,Comedy,0.582,Popular
Valence,Country,0.563581495,Popular
Valence,Dance,0.528495277,Popular
Valence,Electronic,0.439548661,Popular
Valence,Folk,0.456585783,Popular
Valence,Hip-Hop,0.481487008,Popular
Valence,Indie,0.425749615,Popular
Valence,Jazz,0.467496491,Popular
Valence,Movie,0.399341379,Popular
Valence,Opera,0.11445,Popular
Valence,Pop,0.482777584,Popular
Valence,R&B,0.466383909,Popular
Valence,Rap,0.458066365,Popular
Valence,Reggae,0.665218692,Popular
Valence,Reggaeton,0.625268787,Popular
Valence,Rock,0.52232531,Popular
Valence,Ska,0.703788235,Popular
Valence,Soul,0.493546048,Popular
Valence,Soundtrack,0.123583333,Popular
Valence,World,0.235092715,Popular
Acousticness,A Capella,0.830364407,Unpopular
Danceability,A Capella,0.410525424,Unpopular
Energy,A Capella,0.249908475,Unpopular
Instrumentalness,A Capella,0.007554696,Unpopular
Liveness,A Capella,0.137260169,Unpopular
Speechiness,A Capella,0.042541525,Unpopular
Valence,A Capella,0.325476271,Unpopular
Acousticness,Alternative,0.145812359,Unpopular
Danceability,Alternative,0.527576065,Unpopular
Energy,Alternative,0.729570791,Unpopular
Instrumentalness,Alternative,0.077993522,Unpopular
Liveness,Alternative,0.234260446,Unpopular
Speechiness,Alternative,0.080787018,Unpopular
Valence,Alternative,0.446084178,Unpopular
Acousticness,Anime,0.296342359,Unpopular
Danceability,Anime,0.470952492,Unpopular
Energy,Anime,0.656943597,Unpopular
Instrumentalness,Anime,0.293846545,Unpopular
Liveness,Anime,0.19120435,Unpopular
Speechiness,Anime,0.064618585,Unpopular
Valence,Anime,0.438373575,Unpopular
Acousticness,Blues,0.33170805,Unpopular
Danceability,Blues,0.529158053,Unpopular
Energy,Blues,0.606307283,Unpopular
Instrumentalness,Blues,0.101165189,Unpopular
Liveness,Blues,0.243036679,Unpopular
Speechiness,Blues,0.062983765,Unpopular
Valence,Blues,0.580957008,Unpopular
Acousticness,Children's Music,0.592221,Unpopular
Danceability,Children's Music,0.697480598,Unpopular
Energy,Children's Music,0.396787435,Unpopular
Instrumentalness,Children's Music,0.143823946,Unpopular
Liveness,Children's Music,0.164860416,Unpopular
Speechiness,Children's Music,0.117510017,Unpopular
Valence,Children's Music,0.675732076,Unpopular
Acousticness,Children’s Music,0.246640309,Unpopular
Danceability,Children’s Music,0.559216216,Unpopular
Energy,Children’s Music,0.620654054,Unpopular
Instrumentalness,Children’s Music,0.058519977,Unpopular
Liveness,Children’s Music,0.221318919,Unpopular
Speechiness,Children’s Music,0.091991892,Unpopular
Valence,Children’s Music,0.410285586,Unpopular
Acousticness,Classical,0.884455947,Unpopular
Danceability,Classical,0.305012837,Unpopular
Energy,Classical,0.166549303,Unpopular
Instrumentalness,Classical,0.59815379,Unpopular
Liveness,Classical,0.167078702,Unpopular
Speechiness,Classical,0.052583327,Unpopular
Valence,Classical,0.215634187,Unpopular
Acousticness,Comedy,0.794288051,Unpopular
Danceability,Comedy,0.559255281,Unpopular
Energy,Comedy,0.672500995,Unpopular
Instrumentalness,Comedy,0.000590595,Unpopular
Liveness,Comedy,0.725226488,Unpopular
Speechiness,Comedy,0.855803094,Unpopular
Valence,Comedy,0.413467175,Unpopular
Acousticness,Country,0.269540219,Unpopular
Danceability,Country,0.573528864,Unpopular
Energy,Country,0.633494898,Unpopular
Instrumentalness,Country,0.004635087,Unpopular
Liveness,Country,0.205548529,Unpopular
Speechiness,Country,0.05003743,Unpopular
Valence,Country,0.520700335,Unpopular
Acousticness,Dance,0.114265675,Unpopular
Danceability,Dance,0.643343949,Unpopular
Energy,Dance,0.722840764,Unpopular
Instrumentalness,Dance,0.060364892,Unpopular
Liveness,Dance,0.246559236,Unpopular
Speechiness,Dance,0.073082166,Unpopular
Valence,Dance,0.517112739,Unpopular
Acousticness,Electronic,0.119804583,Unpopular
Danceability,Electronic,0.613689823,Unpopular
Energy,Electronic,0.743622196,Unpopular
Instrumentalness,Electronic,0.369660599,Unpopular
Liveness,Electronic,0.215774138,Unpopular
Speechiness,Electronic,0.104669853,Unpopular
Valence,Electronic,0.382356043,Unpopular
Acousticness,Folk,0.51571811,Unpopular
Danceability,Folk,0.52284178,Unpopular
Energy,Folk,0.449441187,Unpopular
Instrumentalness,Folk,0.08989097,Unpopular
Liveness,Folk,0.188714462,Unpopular
Speechiness,Folk,0.047978616,Unpopular
Valence,Folk,0.429808158,Unpopular
Acousticness,Hip-Hop,0.094557,Unpopular
Danceability,Hip-Hop,0.691633333,Unpopular
Energy,Hip-Hop,0.649133333,Unpopular
Instrumentalness,Hip-Hop,0.034519617,Unpopular
Liveness,Hip-Hop,0.258053333,Unpopular
Speechiness,Hip-Hop,0.176823333,Unpopular
Valence,Hip-Hop,0.535993333,Unpopular
Acousticness,Indie,0.345891351,Unpopular
Danceability,Indie,0.600472973,Unpopular
Energy,Indie,0.542581081,Unpopular
Instrumentalness,Indie,0.054165678,Unpopular
Liveness,Indie,0.180194595,Unpopular
Speechiness,Indie,0.088937838,Unpopular
Valence,Indie,0.404040541,Unpopular
Acousticness,Jazz,0.494322624,Unpopular
Danceability,Jazz,0.57669093,Unpopular
